vaders en moeders
moeders en vaders
echtgenoot
echtgenote
man/vrouw
vriend/vriendin
jongens en meisjes
mannen en vrouwen
homoseksueel
queer
praktisch opgeleid
theoretisch opgeleid
wetenschappelijk opgeleid
mensen met weinig schoolervaring
gehandicapte
beperkt
verstandelijk gehandicapte
mentaal gehandicapte
gebarentolk
persoon met verward gedrag
persoon met psychische problemen
blinde
slechtziende
doven
slechthorenden
Bejaarden
ouderen
migratieachtergrond
Arabische wereld
bicultureel
multicultureel
wit
zwart
bruin
donker
persoon van kleur
mensen van kleur
bicultureel
westers
niet-westers
Afrika
Afrikaan
