hermafrodiet
homohuwelijk
Gay Pride
gay
homo
seksuele voorkeur
transseksueel
mbo-scholier
mbo-leerling
laagopgeleid
hoogopgeleid
Invalide
mindervalide
zwakkere
kwetsbare
persoon met bijzonder talent
doventolk
rolstoelrijder
rolstoelpati�nt
rolstoeler
rolstoelgebonden
invalidentoilet
aangepaste sporter
dwerg
lilliputter
ADHD'er
Autist
Mongool
psychiatrisch pati�nt
gestoorde
zwakzinnige
chronische pati�nt
chronische zieke
doofstomme
gehoorgestoorde
kids
jonkies
allochtoon
autochtoon
illegaal
blank
gekleurd
van kleur
gekleurd
getint
halfbloed
meerbloed
dubbelbloed
inheems
slaaf
zigeuner
tropisch
exotisch
zwarte Nederlanders
afro-Nederlanders
